START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/01/21,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",04/01/21,04/01/21,04:20 PM,05:20 PM,FALSE,TRUE,04/01/21,12:20 PM,01:20 PM,FREE,BUSY
04/03/21,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",04/03/21,04/03/21,04:20 PM,05:20 PM,FALSE,TRUE,04/03/21,12:20 PM,01:20 PM,FREE,BUSY
04/04/21,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",04/04/21,04/04/21,04:20 PM,05:20 PM,FALSE,TRUE,04/04/21,12:20 PM,01:20 PM,FREE,BUSY
04/05/21,06:40 PM,07:40 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",04/05/21,04/05/21,09:40 PM,10:40 PM,FALSE,TRUE,04/05/21,05:40 PM,06:40 PM,FREE,BUSY
04/06/21,06:40 PM,07:40 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",04/06/21,04/06/21,09:40 PM,10:40 PM,FALSE,TRUE,04/06/21,05:40 PM,06:40 PM,FREE,BUSY
04/07/21,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",04/07/21,04/07/21,04:20 PM,05:20 PM,FALSE,TRUE,04/07/21,12:20 PM,01:20 PM,FREE,BUSY
04/16/21,01:20 PM,02:20 PM,Braves at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",04/16/21,04/16/21,04:20 PM,05:20 PM,FALSE,TRUE,04/16/21,12:20 PM,01:20 PM,FREE,BUSY
04/17/21,01:20 PM,02:20 PM,Braves at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",04/17/21,04/17/21,04:20 PM,05:20 PM,FALSE,TRUE,04/17/21,12:20 PM,01:20 PM,FREE,BUSY
04/18/21,06:08 PM,07:08 PM,Braves at Cubs,Wrigley Field - Chicago,"Local TV: ESPN ----- Local Radio: 670 The Score- TUDN WRTO 1200",04/18/21,04/18/21,09:08 PM,10:08 PM,FALSE,TRUE,04/18/21,05:08 PM,06:08 PM,FREE,BUSY
04/20/21,06:40 PM,07:40 PM,Mets at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- ESPN ----- Local Radio: 670 The Score- TUDN WRTO 1200",04/20/21,04/20/21,09:40 PM,10:40 PM,FALSE,TRUE,04/20/21,05:40 PM,06:40 PM,FREE,BUSY
